demo18.txt


INSERT 0 160
   model    |  long_only_eff   |  effectiveness   
------------+------------------+------------------
 svm_slpm2  | 73.9019863934359 | 84.8123805793837
 linr_slpm1 | 73.9019863934359 | 58.6806695499273
 logr_slpm1 | 73.9019863934359 | 40.8481009670394
(3 rows)

   model    |  yr  |   long_only_eff   |   effectiveness    
------------+------+-------------------+--------------------
 linr_slpm1 | 2010 |  13.1835204115613 |   11.7778702995007
 linr_slpm1 | 2011 |  3.12246741147213 |   19.7531507259312
 linr_slpm1 | 2012 |  14.3809017652799 |   17.4823234840699
 linr_slpm1 | 2013 |  23.1265472332806 |   6.20008844549601
 linr_slpm1 | 2014 |  12.2866677865772 |  -11.3484911933817
 linr_slpm1 | 2015 | -1.02857400043974 |   2.92847196807833
 linr_slpm1 | 2016 |  8.83045578570473 |   11.8872558202328
 logr_slpm1 | 2010 |  13.1835204115613 |  -12.0537261132481
 logr_slpm1 | 2011 |  3.12246741147213 |   28.2896410001252
 logr_slpm1 | 2012 |  14.3809017652799 |  -6.17981671062673
 logr_slpm1 | 2013 |  23.1265472332806 |   11.2443010050497
 logr_slpm1 | 2014 |  12.2866677865772 |   2.45241818121237
 logr_slpm1 | 2015 | -1.02857400043974 |   17.1746174302025
 logr_slpm1 | 2016 |  8.83045578570473 | -0.079333825675523
 svm_slpm2  | 2010 |  13.1835204115613 |   16.5959290523213
 svm_slpm2  | 2011 |  3.12246741147213 |   24.6822537189576
 svm_slpm2  | 2012 |  14.3809017652799 |   13.3580372574224
 svm_slpm2  | 2013 |  23.1265472332806 |   9.19466683438863
 svm_slpm2  | 2014 |  12.2866677865772 |  -8.61950267897134
 svm_slpm2  | 2015 | -1.02857400043974 |   13.5507348866455
 svm_slpm2  | 2016 |  8.83045578570473 |   16.0502615086196
(21 rows)
